temperature,humidity,label
60,80,1
30.28,41.08,0
28.94,41.39,0
60,80,1
60,80,1
60,80,1
60,30,1
28.79,44.14,0
10,80,1
29.22,42.2,0
28.47,41.07,0
10,80,1
28.82,43.31,0
30.33,43.14,0
29.65,40.18,0
10,30,1
28.34,44.54,0
29.78,42.44,0
29.55,44.69,0
28.75,41.84,0
10,30,1
10,80,1
60,80,1
60,30,1
60,30,1
28.54,40.38,0
28.88,43.96,0
28.63,43.92,0
10,80,1
30.28,43.83,0
10,30,1
30.59,42.14,0
10,80,1
10,80,1
30.01,40.32,0
30.14,40.73,0
10,30,1
30.63,41.6,0
29.73,40.79,0
29.6,43.09,0
60,30,1
60,80,1
10,30,1
28.22,40.36,0
10,30,1
10,30,1
10,30,1
60,30,1
60,80,1
30.27,44.32,0
10,30,1
60,80,1
60,80,1
29.14,42.01,0
30.77,42.27,0
30.67,41.51,0
29.33,42.63,0
10,30,1
10,80,1
10,80,1
60,30,1
29.04,43.33,0
10,30,1
60,30,1
28.06,40.62,0
60,80,1
10,80,1
60,80,1
60,80,1
28.63,41.23,0
29.06,43.46,0
60,30,1
28.27,40.67,0
30.07,42.56,0
30.8,41.03,0
60,30,1
10,30,1
28.24,42.87,0
60,80,1
28.09,44.93,0
29.14,44.96,0
10,30,1
10,80,1
60,80,1
30.89,40.86,0
10,30,1
10,80,1
10,30,1
30.63,40.27,0
29.46,42.5,0
30.69,42.6,0
10,80,1
10,80,1
10,30,1
10,80,1
29.2,41.58,0
60,30,1
60,30,1
10,80,1
29.41,42.99,0
60,80,1
30.31,40.16,0
28.68,40.11,0
30.27,44.59,0
60,30,1
28.57,40.26,0
10,80,1
60,80,1
30.97,41.59,0
29.72,41.15,0
28.24,40.43,0
28.6,44.58,0
28.46,41.24,0
60,30,1
30.44,41.79,0
10,30,1
10,80,1
30.83,41.46,0
30.6,40.19,0
28.19,42.53,0
60,80,1
60,80,1
28.29,44.97,0
10,30,1
28.54,43.29,0
30.65,44.17,0
30.91,43.35,0
60,80,1
10,80,1
29.08,42.09,0
28.8,41.36,0
60,30,1
60,80,1
29.5,40.91,0
10,30,1
10,30,1
60,30,1
60,80,1
30.85,43.59,0
29.44,44.13,0
60,30,1
29.82,40.3,0
60,80,1
30.63,44.9,0
10,80,1
10,80,1
29.0,43.03,0
29.51,40.94,0
60,80,1
29.71,42.25,0
10,80,1
60,80,1
10,80,1
60,80,1
30.25,40.25,0
28.37,42.55,0
10,80,1
10,30,1
10,80,1
60,80,1
28.12,40.16,0
30.61,44.16,0
29.03,40.85,0
29.77,43.86,0
29.6,43.36,0
28.69,41.38,0
10,30,1
60,80,1
10,30,1
28.14,42.92,0
29.99,43.09,0
30.28,40.63,0
28.53,42.35,0
60,30,1
60,80,1
29.73,41.02,0
30.46,40.77,0
60,80,1
10,80,1
30.14,41.93,0
60,80,1
30.12,43.65,0
28.14,42.19,0
60,80,1
10,80,1
10,80,1
60,30,1
60,30,1
10,80,1
60,80,1
60,80,1
10,30,1
30.79,43.49,0
30.99,41.96,0
28.25,44.11,0
60,30,1
28.79,43.29,0
30.31,44.67,0
29.86,41.05,0
60,30,1
29.48,41.85,0
10,80,1
28.09,44.0,0
60,30,1
29.51,40.03,0
29.15,42.91,0
10,80,1
29.64,44.89,0
10,30,1
10,30,1
29.23,41.35,0
28.09,42.98,0
60,80,1
10,80,1
29.98,44.46,0
30.71,42.2,0
60,30,1
30.73,40.89,0
28.89,43.55,0
60,80,1
30.08,43.63,0
29.42,43.15,0
60,30,1
28.87,44.51,0
28.22,41.94,0
28.9,43.37,0
30.87,40.83,0
60,80,1
10,30,1
10,30,1
28.53,44.34,0
30.54,40.19,0
29.66,41.95,0
60,80,1
10,80,1
60,30,1
10,80,1
29.66,40.84,0
10,80,1
29.93,42.73,0
10,80,1
60,30,1
10,30,1
30.18,42.03,0
60,80,1
10,30,1
30.48,44.6,0
10,80,1
30.38,40.46,0
29.03,40.33,0
10,30,1
10,30,1
29.75,40.32,0
29.05,44.69,0
28.59,43.03,0
30.35,40.15,0
60,30,1
30.08,42.86,0
28.7,40.21,0
10,30,1
60,30,1
28.85,41.94,0
10,80,1
29.88,40.11,0
10,80,1
30.06,40.93,0
60,30,1
10,80,1
30.64,42.61,0
29.36,42.51,0
28.85,41.22,0
30.95,41.13,0
60,80,1
28.96,41.56,0
10,80,1
60,30,1
10,30,1
60,30,1
10,80,1
10,30,1
60,80,1
28.95,41.96,0
60,80,1
28.99,42.31,0
10,80,1
30.96,40.04,0
28.52,40.31,0
28.06,44.01,0
28.82,42.42,0
10,30,1
28.39,41.74,0
29.36,44.48,0
30.0,40.35,0
29.39,40.99,0
30.32,43.89,0
10,80,1
60,80,1
10,80,1
60,80,1
30.26,41.8,0
29.82,42.06,0
29.7,42.25,0
29.41,40.9,0
29.54,41.8,0
30.03,44.79,0
60,30,1
60,30,1
28.01,44.51,0
29.83,40.03,0
10,30,1
29.45,41.04,0
10,30,1
29.33,42.88,0
28.3,40.38,0
60,30,1
29.07,42.64,0
28.69,44.86,0
30.1,42.99,0
29.67,40.12,0
30.07,42.0,0
29.49,42.2,0
60,80,1
10,80,1
29.86,40.85,0
60,30,1
28.0,41.8,0
60,80,1
60,30,1
29.29,40.56,0
10,30,1
29.93,41.98,0
30.47,43.4,0
29.96,41.1,0
30.35,43.01,0
60,30,1
28.7,43.34,0
10,80,1
29.17,41.44,0
10,80,1
10,80,1
29.32,41.12,0
30.54,40.42,0
60,80,1
29.65,42.3,0
28.93,40.83,0
30.21,41.33,0
28.1,40.09,0
60,30,1
28.96,44.44,0
10,30,1
10,30,1
30.32,42.08,0
28.63,44.08,0
60,30,1
28.75,44.64,0
60,80,1
10,80,1
60,30,1
10,30,1
30.29,40.5,0
10,80,1
60,80,1
30.04,41.24,0
30.46,43.89,0
29.84,44.1,0
10,30,1
29.46,43.26,0
29.34,42.84,0
60,80,1
60,30,1
10,30,1
10,80,1
30.04,40.46,0
30.39,42.94,0
30.97,43.46,0
30.56,42.9,0
30.97,40.14,0
29.74,44.47,0
29.22,42.98,0
30.12,41.35,0
30.38,44.25,0
10,30,1
30.35,41.64,0
60,80,1
28.99,42.21,0
30.75,41.15,0
29.26,41.97,0
28.35,42.9,0
60,80,1
10,30,1
60,30,1
10,80,1
60,30,1
30.48,41.96,0
29.7,41.34,0
10,80,1
60,80,1
28.65,41.67,0
10,80,1
10,30,1
28.36,40.34,0
30.86,41.45,0
10,30,1
29.16,44.03,0
60,30,1
60,80,1
10,30,1
28.06,43.34,0
28.97,41.17,0
29.39,44.88,0
60,80,1
28.39,41.88,0
29.41,40.41,0
30.8,42.61,0
60,80,1
60,30,1
30.25,41.16,0
29.99,42.27,0
10,80,1
10,80,1
28.87,44.49,0
28.6,41.64,0
29.68,43.83,0
60,30,1
60,30,1
10,80,1
60,80,1
30.8,44.75,0
10,30,1
60,80,1
28.78,42.82,0
10,30,1
29.79,42.59,0
60,30,1
60,80,1
10,80,1
10,80,1
10,80,1
10,80,1
60,80,1
29.32,41.11,0
30.26,44.14,0
10,80,1
60,30,1
30.14,44.92,0
10,30,1
60,30,1
10,30,1
10,30,1
10,80,1
10,30,1
60,30,1
29.71,40.65,0
10,80,1
29.08,42.95,0
29.18,40.98,0
28.94,44.52,0
30.36,41.07,0
60,80,1
29.67,43.13,0
30.55,42.15,0
60,80,1
28.72,40.05,0
29.05,41.54,0
60,80,1
29.14,41.92,0
60,30,1
60,30,1
60,30,1
10,80,1
60,30,1
28.02,43.73,0
60,30,1
10,80,1
29.7,42.47,0
10,80,1
29.22,42.1,0
30.14,41.85,0
30.24,43.68,0
28.32,42.36,0
28.17,40.69,0
29.47,40.24,0
28.2,42.14,0
28.02,41.85,0
29.97,40.33,0
29.19,43.19,0
29.08,40.43,0
28.43,41.66,0
28.49,41.53,0
29.93,43.57,0
60,30,1
29.99,44.31,0
10,30,1
10,30,1
60,80,1
28.59,40.99,0
60,30,1
60,80,1
10,30,1
60,30,1
30.19,42.04,0
29.42,44.94,0
29.31,42.64,0
10,30,1
10,80,1
28.21,42.95,0
30.5,42.83,0
29.23,41.9,0
29.47,44.91,0
60,80,1
28.17,43.48,0
28.37,43.56,0
30.71,41.8,0
10,30,1
60,30,1
10,30,1
10,80,1
60,30,1
28.65,42.45,0
10,80,1
10,30,1
10,30,1
29.88,44.58,0
10,80,1
10,80,1
10,30,1
10,80,1
60,30,1
10,30,1
29.38,43.33,0
10,80,1
28.65,41.72,0
30.79,42.59,0
60,30,1
28.87,41.37,0
60,30,1
60,30,1
29.07,41.79,0
30.43,40.29,0
29.64,42.46,0
28.51,42.69,0
30.81,40.98,0
60,80,1
10,30,1
10,30,1
30.3,44.22,0
28.92,42.94,0
30.19,44.13,0
30.07,42.55,0
28.6,41.66,0
29.91,40.69,0
30.71,42.45,0
10,30,1
10,80,1
29.46,42.56,0
10,30,1
10,80,1
10,80,1
60,80,1
60,80,1
29.04,44.09,0
60,80,1
60,80,1
60,30,1
60,30,1
28.08,41.06,0
60,80,1
28.08,44.22,0
29.27,44.11,0
60,80,1
60,80,1
60,30,1
60,30,1
60,80,1
28.68,44.9,0
29.98,41.69,0
10,30,1
28.42,41.41,0
10,80,1
28.97,43.8,0
30.86,41.49,0
29.51,40.38,0
10,80,1
60,80,1
10,30,1
29.74,43.28,0
60,80,1
10,30,1
28.37,43.97,0
30.52,40.63,0
10,30,1
60,80,1
60,30,1
60,80,1
60,30,1
10,80,1
10,30,1
29.14,40.24,0
29.9,44.18,0
29.06,40.92,0
10,80,1
29.87,43.61,0
29.51,41.95,0
30.58,40.03,0
10,80,1
28.86,41.64,0
10,30,1
60,30,1
30.98,41.51,0
60,30,1
60,30,1
60,80,1
60,30,1
29.88,41.6,0
60,80,1
10,30,1
60,80,1
10,30,1
29.59,40.72,0
10,80,1
30.7,44.85,0
10,80,1
60,30,1
60,30,1
10,80,1
10,80,1
29.52,43.85,0
10,80,1
30.3,43.27,0
28.34,40.99,0
30.16,41.7,0
60,80,1
30.91,44.92,0
28.63,41.32,0
60,80,1
29.28,42.87,0
28.7,40.38,0
60,80,1
10,30,1
10,30,1
29.44,44.98,0
30.53,41.44,0
10,30,1
30.01,41.47,0
28.97,44.56,0
10,30,1
60,30,1
28.78,44.13,0
10,80,1
28.27,42.13,0
28.11,40.64,0
28.31,40.19,0
60,30,1
10,80,1
60,30,1
29.7,41.84,0
30.09,43.3,0
10,80,1
29.91,44.44,0
60,30,1
29.88,42.7,0
10,30,1
10,80,1
29.91,44.08,0
30.53,43.36,0
10,80,1
28.82,43.3,0
10,80,1
60,80,1
60,80,1
30.53,42.35,0
28.08,42.89,0
29.06,41.21,0
60,30,1
29.21,42.36,0
10,80,1
29.31,40.68,0
60,30,1
60,30,1
30.28,44.89,0
60,80,1
10,80,1
30.94,40.22,0
30.83,44.56,0
10,30,1
29.52,41.05,0
10,30,1
60,80,1
10,30,1
10,80,1
60,30,1
30.45,40.2,0
60,80,1
30.83,41.88,0
28.02,40.1,0
60,80,1
30.32,41.91,0
10,80,1
60,30,1
60,30,1
29.66,44.61,0
60,80,1
28.62,40.21,0
29.16,40.94,0
28.27,41.43,0
29.86,44.13,0
30.13,42.73,0
30.66,40.45,0
60,30,1
30.6,41.85,0
10,80,1
10,30,1
29.51,42.49,0
10,80,1
60,30,1
30.54,40.45,0
60,30,1
60,30,1
60,80,1
10,80,1
10,80,1
10,80,1
10,80,1
28.37,42.08,0
28.45,41.16,0
10,30,1
60,30,1
29.58,42.06,0
10,80,1
29.99,42.29,0
60,30,1
29.94,44.78,0
60,30,1
28.58,43.29,0
10,30,1
10,80,1
29.17,43.4,0
60,30,1
10,80,1
30.55,42.56,0
60,30,1
10,80,1
29.75,40.03,0
29.12,42.04,0
60,30,1
60,80,1
29.82,41.51,0
29.71,40.19,0
30.04,42.76,0
10,80,1
28.8,41.15,0
28.86,42.66,0
30.55,44.87,0
29.82,43.38,0
30.58,43.03,0
30.11,43.67,0
28.24,43.05,0
10,30,1
28.22,42.83,0
10,80,1
60,30,1
10,80,1
60,30,1
60,30,1
10,80,1
30.47,44.73,0
29.47,42.01,0
28.78,41.91,0
10,80,1
29.32,40.69,0
29.76,40.52,0
60,80,1
30.56,42.75,0
30.85,44.2,0
30.51,44.08,0
30.8,41.56,0
30.08,44.7,0
10,30,1
29.62,44.67,0
30.28,44.53,0
28.82,42.41,0
10,80,1
30.31,41.42,0
60,30,1
28.39,43.57,0
10,30,1
29.64,40.41,0
29.77,43.7,0
29.35,40.24,0
60,80,1
30.73,43.0,0
60,30,1
30.26,44.83,0
10,80,1
10,80,1
10,30,1
60,80,1
10,80,1
60,80,1
10,30,1
28.67,43.61,0
30.74,43.22,0
60,80,1
10,80,1
29.69,41.34,0
29.15,40.95,0
30.37,44.66,0
30.7,41.45,0
30.87,42.0,0
60,80,1
30.83,40.08,0
30.45,42.05,0
60,30,1
30.16,41.99,0
30.15,44.43,0
10,30,1
29.77,42.61,0
30.0,42.08,0
30.16,40.35,0
29.26,44.8,0
60,30,1
29.4,44.42,0
10,30,1
60,80,1
28.09,40.6,0
30.19,41.17,0
10,30,1
30.98,44.44,0
30.5,43.59,0
30.75,43.71,0
28.83,44.85,0
60,80,1
60,80,1
10,30,1
10,80,1
10,30,1
30.81,42.15,0
29.57,43.39,0
30.64,42.47,0
30.1,41.92,0
28.33,41.51,0
30.56,43.46,0
10,30,1
30.74,42.29,0
10,80,1
60,30,1
60,30,1
30.56,42.36,0
28.67,44.93,0
30.67,40.16,0
10,80,1
29.99,41.29,0
60,80,1
60,30,1
30.8,44.44,0
28.45,44.55,0
29.56,41.01,0
10,30,1
60,80,1
29.35,41.22,0
30.16,41.76,0
30.56,40.67,0
30.97,43.69,0
30.69,41.4,0
30.39,42.71,0
60,80,1
10,30,1
10,30,1
60,30,1
28.37,41.74,0
10,80,1
30.96,40.93,0
30.65,43.04,0
60,30,1
10,80,1
28.62,42.6,0
10,80,1
29.78,40.87,0
60,30,1
10,30,1
30.7,41.23,0
60,30,1
10,30,1
29.28,40.77,0
60,80,1
30.41,40.48,0
29.29,43.31,0
10,80,1
28.9,44.6,0
30.0,42.13,0
60,80,1
29.69,41.92,0
28.04,40.14,0
10,80,1
30.86,42.09,0
10,80,1
29.81,44.8,0
30.83,42.22,0
10,30,1
10,30,1
29.49,43.83,0
28.9,42.37,0
60,30,1
29.09,40.94,0
10,30,1
28.2,42.39,0
30.89,44.5,0
10,80,1
10,30,1
10,30,1
28.14,43.63,0
10,30,1
10,30,1
60,80,1
30.29,42.73,0
10,80,1
29.56,41.57,0
28.96,43.31,0
29.85,41.4,0
60,80,1
30.13,44.28,0
60,30,1
29.31,43.05,0
28.99,41.56,0
60,80,1
29.76,44.87,0
60,30,1
29.92,44.25,0
60,80,1
60,30,1
10,30,1
10,80,1
60,80,1
29.46,40.55,0
10,80,1
60,80,1
10,80,1
10,80,1
30.68,41.66,0
60,30,1
60,80,1
29.0,40.83,0
10,30,1
60,80,1
10,80,1
10,30,1
28.59,41.84,0
60,30,1
10,30,1
29.21,41.32,0
30.21,40.14,0
60,80,1
60,30,1
60,80,1
10,80,1
10,80,1
60,30,1
28.34,44.9,0
28.46,40.87,0
10,30,1
30.86,44.96,0
60,80,1
30.72,42.46,0
29.06,43.19,0
60,80,1
30.72,44.73,0
28.84,44.58,0
29.56,41.79,0
10,30,1
29.43,42.24,0
28.84,43.86,0
10,80,1
29.87,42.32,0
10,80,1
28.9,41.66,0
10,30,1
29.6,41.99,0
10,80,1
60,30,1
30.62,40.58,0
29.59,40.87,0
30.31,43.12,0
60,30,1
10,80,1
28.32,44.42,0
28.88,42.61,0
60,80,1
10,30,1
60,30,1
29.02,42.23,0
60,80,1
60,30,1
29.42,44.62,0
60,80,1
10,30,1
60,80,1
60,30,1
10,30,1
28.08,40.32,0
60,80,1
28.93,42.24,0
30.47,42.24,0
60,30,1
29.1,43.16,0
29.9,43.79,0
60,80,1
10,30,1
60,80,1
60,80,1
29.68,43.3,0
30.92,40.64,0
60,80,1
30.64,42.54,0
10,30,1
10,30,1
60,80,1
28.26,44.08,0
30.76,40.05,0
29.39,40.27,0
10,80,1
30.86,42.76,0
60,80,1
60,30,1
28.36,41.61,0
30.89,42.22,0
10,30,1
29.44,41.63,0
30.0,43.61,0
60,80,1
10,30,1
29.55,43.08,0
10,80,1
60,30,1
10,30,1
28.56,43.4,0
30.37,43.82,0
28.51,43.09,0
10,30,1
30.09,43.71,0
60,80,1
28.98,44.34,0
10,80,1
60,80,1
30.72,42.12,0
30.9,43.36,0
28.29,41.96,0
60,80,1
28.44,43.78,0
60,30,1
10,30,1
29.55,40.35,0
30.54,44.77,0
29.59,44.53,0
30.55,43.05,0
30.5,40.83,0
28.55,41.76,0
10,80,1
29.0,43.71,0
28.69,44.89,0
10,80,1
60,80,1
10,30,1
60,80,1
29.69,44.69,0
10,30,1
60,30,1
30.12,40.76,0
29.68,41.73,0
30.84,43.08,0
10,80,1
60,80,1
60,80,1
28.61,43.1,0
30.95,40.31,0
60,80,1
60,30,1
30.93,42.82,0
29.71,44.48,0
60,30,1
28.64,44.97,0
10,30,1
30.71,40.78,0
10,30,1
60,30,1
29.12,42.48,0
28.24,40.13,0
28.2,40.11,0
10,80,1
60,80,1
10,80,1
28.33,42.13,0
30.9,40.38,0
10,30,1
28.82,41.75,0
10,30,1
60,80,1
60,80,1
28.64,41.95,0
28.69,43.29,0
28.14,41.37,0
28.09,40.65,0
10,80,1
10,80,1
29.21,42.17,0
28.7,41.73,0
60,80,1
30.21,42.49,0
60,30,1
29.94,40.37,0
60,30,1
29.93,41.18,0
60,80,1
29.89,43.71,0
30.27,44.11,0
60,80,1
30.77,43.57,0
10,30,1
28.09,43.19,0
10,30,1
10,30,1
10,80,1
28.89,41.66,0
30.64,44.99,0
29.78,43.81,0
30.24,43.62,0
29.89,44.75,0
10,80,1
30.15,41.61,0
10,30,1
30.05,43.7,0
29.22,42.21,0
10,30,1
60,30,1
10,30,1
60,80,1
30.38,43.87,0
60,80,1
28.6,43.27,0
29.67,42.53,0
10,30,1
10,80,1
60,80,1
10,30,1
28.55,42.89,0
28.74,44.84,0
30.05,43.68,0
30.42,42.36,0
29.64,41.13,0
60,80,1
29.2,43.26,0
30.28,43.06,0
10,30,1
10,80,1
10,30,1
30.95,43.71,0
28.19,41.11,0
60,30,1
10,80,1
60,80,1
29.2,42.91,0
30.88,40.24,0
29.37,40.7,0
10,30,1
60,80,1
10,80,1
29.99,41.26,0
10,30,1
60,30,1
10,30,1
60,80,1
10,80,1
28.64,43.8,0
60,80,1
10,80,1
10,30,1
28.84,41.78,0
10,80,1
29.11,41.64,0
60,30,1
10,30,1
29.0,42.85,0
60,80,1
30.45,41.18,0
60,30,1
28.81,44.57,0
60,80,1
28.41,41.71,0
30.82,40.83,0
60,30,1
10,30,1
29.17,41.54,0
29.72,43.72,0
60,80,1
29.24,42.29,0
30.03,42.17,0
28.13,41.08,0
60,80,1
30.31,40.56,0
60,80,1
10,80,1
30.22,41.4,0
28.4,44.92,0
10,30,1
28.86,41.22,0
28.16,44.19,0
10,80,1
60,30,1
30.43,41.55,0
10,30,1
60,30,1
28.0,43.27,0
30.71,42.76,0
10,80,1
60,80,1
28.78,43.86,0
29.54,40.77,0
10,30,1
29.15,40.65,0
10,80,1
60,30,1
60,30,1
60,80,1
60,80,1
28.51,41.6,0
28.22,43.24,0
30.61,40.22,0
28.37,43.1,0
10,30,1
28.41,40.84,0
28.59,44.19,0
10,30,1
29.52,40.06,0
10,30,1
60,80,1
28.23,44.87,0
10,80,1
29.4,41.07,0
30.53,44.15,0
10,80,1
28.39,41.32,0
30.23,43.28,0
28.94,43.88,0
10,80,1
60,30,1
10,30,1
30.48,43.98,0
10,80,1
30.48,43.34,0
28.49,43.1,0
60,30,1
60,80,1
30.89,44.54,0
10,80,1
10,30,1
10,30,1
60,80,1
30.9,41.62,0
60,30,1
10,30,1
30.18,40.82,0
30.08,43.85,0
60,80,1
10,80,1
60,30,1
10,80,1
10,30,1
60,30,1
30.34,43.05,0
29.79,44.65,0
29.63,41.09,0
10,30,1
10,80,1
60,80,1
29.35,40.77,0
29.15,42.98,0
60,80,1
10,30,1
30.07,43.99,0
30.8,44.23,0
60,80,1
10,80,1
10,30,1
10,30,1
29.02,40.72,0
10,30,1
10,80,1
29.73,41.67,0
29.98,41.3,0
60,80,1
10,30,1
10,30,1
10,80,1
60,80,1
60,80,1
29.95,42.67,0
10,80,1
29.03,40.33,0
30.1,40.8,0
60,80,1
28.27,42.03,0
10,80,1
60,80,1
60,30,1
10,30,1
28.04,43.32,0
30.36,44.05,0
10,80,1
10,80,1
28.65,44.64,0
30.43,44.39,0
28.55,40.65,0
60,30,1
28.19,43.1,0
10,30,1
10,30,1
60,30,1
60,80,1
10,80,1
29.1,42.68,0
10,30,1
10,30,1
28.89,43.13,0
28.54,40.3,0
28.23,42.67,0
28.38,43.69,0
28.74,41.63,0
28.34,42.37,0
29.58,43.38,0
10,30,1
29.71,42.3,0
28.4,42.43,0
60,30,1
29.49,42.58,0
10,80,1
10,80,1
10,80,1
60,30,1
10,30,1
60,80,1
30.35,44.37,0
30.9,41.69,0
29.54,40.74,0
10,30,1
29.87,40.98,0
60,30,1
29.79,44.77,0
60,30,1
30.13,40.34,0
60,30,1
29.21,43.6,0
29.06,42.23,0
10,80,1
60,80,1
10,30,1
28.07,42.37,0
60,80,1
10,80,1
29.6,43.27,0
29.19,42.22,0
10,30,1
10,80,1
60,80,1
29.52,43.62,0
60,80,1
28.88,41.89,0
10,80,1
30.09,44.96,0
60,30,1
29.19,44.78,0
28.36,41.92,0
60,30,1
30.72,43.49,0
10,30,1
10,80,1
60,80,1
10,80,1
10,80,1
28.66,41.63,0
60,30,1
30.42,43.73,0
10,80,1
28.48,40.97,0
60,30,1
10,80,1
28.95,43.44,0
30.14,42.63,0
10,80,1
29.52,41.1,0
28.27,42.65,0
10,80,1
28.31,43.47,0
29.18,41.64,0
30.07,41.29,0
28.76,44.06,0
60,30,1
60,30,1
28.65,40.74,0
60,80,1
10,30,1
60,30,1
60,30,1
28.53,44.06,0
60,30,1
29.37,44.61,0
60,30,1
60,80,1
29.82,42.69,0
10,30,1
30.12,43.17,0
10,30,1
30.68,44.57,0
10,80,1
10,30,1
29.58,40.65,0
30.22,41.43,0
10,30,1
60,80,1
60,80,1
10,30,1
